Error Type,Topic Guid,Message
Warning,0a3555dc-6f96-49a5-b9e2-7760e16630b3,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>Set your Azure subscription. Replace everything within the quotes- including the &lt; and &gt; characters- with the correct names.</p> in md file:0a3555dc-6f96-49a5-b9e2-7760e16630b3.md total found:0
Warning,0d93ff4a-8fbd-42b8-9227-d817dba0046d,Found herf tag with an image in file:0d93ff4a-8fbd-42b8-9227-d817dba0046d.md total found:3
Warning,0d93ff4a-8fbd-42b8-9227-d817dba0046d,Fixing missing end table tag in file:0d93ff4a-8fbd-42b8-9227-d817dba0046d.md
Warning,0d93ff4a-8fbd-42b8-9227-d817dba0046d,Fixing missing end table tag in file:0d93ff4a-8fbd-42b8-9227-d817dba0046d.md
Warning,0d93ff4a-8fbd-42b8-9227-d817dba0046d,Found invalid tables saving file:0d93ff4a-8fbd-42b8-9227-d817dba0046d.md
Warning,10d1004b-42b6-4e2b-aaa2-18ddd9118f64,Found herf tag with an image in file:10d1004b-42b6-4e2b-aaa2-18ddd9118f64.md total found:2
Warning,10d1004b-42b6-4e2b-aaa2-18ddd9118f64,Missing tables headers in file:10d1004b-42b6-4e2b-aaa2-18ddd9118f64.md
Warning,10d1004b-42b6-4e2b-aaa2-18ddd9118f64,Fixing missing end table tag in file:10d1004b-42b6-4e2b-aaa2-18ddd9118f64.md
Warning,10d1004b-42b6-4e2b-aaa2-18ddd9118f64,Fixing missing end table tag in file:10d1004b-42b6-4e2b-aaa2-18ddd9118f64.md
Warning,10d1004b-42b6-4e2b-aaa2-18ddd9118f64,Found invalid tables saving file:10d1004b-42b6-4e2b-aaa2-18ddd9118f64.md
Warning,129f4e45-647e-4cf1-92a6-4d86d8396e73,Found a an ul list inside a table in html file:129f4e45-647e-4cf1-92a6-4d86d8396e73.xml
Warning,1d51bd87-17bf-457c-b698-61821de3afa0,Missing tables headers in file:1d51bd87-17bf-457c-b698-61821de3afa0.md
Warning,1e8e3cfd-b878-4088-b941-9940363a5fae,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>&lt;site name&gt; Members </p> in md file:1e8e3cfd-b878-4088-b941-9940363a5fae.md total found:0
Warning,1e8e3cfd-b878-4088-b941-9940363a5fae,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>&lt;site name&gt; Members </p> in md file:1e8e3cfd-b878-4088-b941-9940363a5fae.md total found:0
Warning,1e8e3cfd-b878-4088-b941-9940363a5fae,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>&lt;site name&gt; Visitors </p> in md file:1e8e3cfd-b878-4088-b941-9940363a5fae.md total found:0
Warning,1e8e3cfd-b878-4088-b941-9940363a5fae,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>&lt;site name&gt; Viewers </p> in md file:1e8e3cfd-b878-4088-b941-9940363a5fae.md total found:0
Warning,1e8e3cfd-b878-4088-b941-9940363a5fae,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>&lt;site name&gt; Owners </p> in md file:1e8e3cfd-b878-4088-b941-9940363a5fae.md total found:0
Warning,1e8e3cfd-b878-4088-b941-9940363a5fae,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>&lt;site name&gt; Admins </p> in md file:1e8e3cfd-b878-4088-b941-9940363a5fae.md total found:0
Warning,1e8e3cfd-b878-4088-b941-9940363a5fae,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<b>&lt;site name&gt; Owners</b> in md file:1e8e3cfd-b878-4088-b941-9940363a5fae.md total found:0
Warning,1e8e3cfd-b878-4088-b941-9940363a5fae,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<b>&lt;site name&gt; Members</b> in md file:1e8e3cfd-b878-4088-b941-9940363a5fae.md total found:0
Warning,1e8e3cfd-b878-4088-b941-9940363a5fae,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<b>&lt;site name&gt; Visitors</b> in md file:1e8e3cfd-b878-4088-b941-9940363a5fae.md total found:0
