VBA Project,GUID,Friendly name
SpSqBi15itpro,65a6d687-a16a-4415-9fd5-011ba9c5fd80,federated-identity-for-your-office-365-dev-test-environment
SpSqBi15itpro,83e2859a-c673-47c4-880a-01cdfdadb93e,evolving-your-network-for-cloud-connectivity
SpSqBi15itpro,22248f2f-b370-435e-b6ac-0ae0cae36b96,cloud-app-security-for-your-office-365-dev-test-environment
SpSqBi15itpro,bf2295c4-d411-49cd-aaa5-116a4a456c5a,expressroute-for-microsoft-cloud-connectivity
SpSqBi15itpro,1aa9639b-2862-49c4-bc33-1586dda636b8,mam-policies-for-your-microsoft-365-enterprise-dev-test-environment
SpSqBi15itpro,79a61003-4905-4ba8-9e8a-16def7add37c,manage-an-isolated-sharepoint-online-team-site
SpSqBi15itpro,10d1004b-42b6-4e2b-aaa2-18ddd9118f64,microsoft-security-guidance-for-political-campaigns-nonprofits-and-other-agile-o
SpSqBi15itpro,48a24184-2868-4bb2-866c-1907d1bad505,office-365-cross-tenant-collaboration
SpSqBi15itpro,0f1dbf52-5bff-44cc-a264-1b48641af98f,high-availability-federated-authentication-phase-5-configure-federated-authentic
SpSqBi15itpro,2ab00633-0f6e-4e4f-b706-2342eb77e539,accessible-diagramsharepoint-server-exchange-lync-office-web-apps-–-the-mobile-l
SpSqBi15itpro,8f004c92-773e-4eb0-8bb5-24494ca538d3,enterprise-scenarios-for-the-contoso-corporation
SpSqBi15itpro,d4c49a6f-abfd-4d68-b353-259b4eefb033,advanced-ediscovery-for-your-office-365-dev-test-environment
SpSqBi15itpro,0e22bcf3-bad3-42a4-b44f-276e0cf4790f,configure-groups-and-users-for-a-political-campaign-dev-test-environment
SpSqBi15itpro,a1370fe4-2fd6-4fea-ad1d-3555433d6d2e,the-one-microsoft-cloud-dev-test-environment
SpSqBi15itpro,919b8fc7-b0bc-46db-91f5-37342564e01b,data-classification-and-labeling-in-the-office-365-dev-test-environment
SpSqBi15itpro,061d4507-7360-4029-8f4b-3d4bc6b4ade0,common-elements-of-microsoft-cloud-connectivity
SpSqBi15itpro,c720cffc-f9b5-4f43-9100-422f86a1027c,subscriptions-licenses-accounts-and-tenants-for-microsoft’s-cloud-offerings
SpSqBi15itpro,d27b5085-7325-4ab9-9d9a-438908a65d2c,microsoft-cloud-identity-for-enterprise-architects
SpSqBi15itpro,098c1a1d-83a1-40eb-bbc9-47de7af8bb23,office-365-and-dynamics-365-dev-test-environment
SpSqBi15itpro,129f4e45-647e-4cf1-92a6-4d86d8396e73,accessible-diagrammicrosoft-exchange-2013-platform-options
SpSqBi15itpro,db117e59-389f-46f5-a5df-4eeac0040aa8,hybrid-cloud-scenarios-for-microsoft-saas-office-365
SpSqBi15itpro,48e16935-3429-456a-8fe6-50afa257924c,test-lab-guide-configure-an-integrated-exchange-lync-and-sharepoint-test-lab
SpSqBi15itpro,4f6035b8-2da3-4cf9-9657-5284d6364f7a,office-365-dev-test-environment
SpSqBi15itpro,b88200bf-ced0-4ae6-bbe5-5517377d1be1,accessible-diagrammicrosoft-sharepoint-2013-platform-options
SpSqBi15itpro,c4a6d625-4938-42cc-87e1-56b7a13c63ef,contoso-in-the-microsoft-cloud
SpSqBi15itpro,c2112ce8-1c4b-424f-b200-59e161db2d21,create-team-sites-in-a-political-campaign-dev-test-environment
SpSqBi15itpro,b8464818-4325-4a56-b022-5af1dad2aa8b,deploy-office-365-directory-synchronization-dirsync-in-microsoft-azure
SpSqBi15itpro,75fa293a-b51c-42d0-ad90-5b3d9c9b0cd4,security-solutions
SpSqBi15itpro,4194020a-3847-4259-9f2d-5c556a4510f9,designing-networking-for-microsoft-saas
SpSqBi15itpro,d1795031-beef-49ea-a6fc-5da5450d320d,isolated-sharepoint-online-team-site-dev-test-environment
SpSqBi15itpro,49c7758a-1c01-4153-9b63-5eae3f6305ce,enroll-ios-and-android-devices-in-your-microsoft-enterprise-365-dev-test-environ
SpSqBi15itpro,5b49fa68-f8f2-4705-af96-5f5475e8539a,architectural-models-for-sharepoint-exchange-skype-for-business-and-lync
SpSqBi15itpro,e760b59d-67eb-484a-ba97-6078e902b312,obsolete-article
SpSqBi15itpro,1d51bd87-17bf-457c-b698-61821de3afa0,secure-sharepoint-online-sites-and-files
SpSqBi15itpro,e2b354b9-7f18-4da0-9107-6245eae0f33f,multi-factor-authentication-for-your-office-365-dev-test-environment
SpSqBi15itpro,9cb70c9d-9ed9-47cc-af5a-6403d87d3372,designing-networking-for-microsoft-azure-iaas
SpSqBi15itpro,81190961-5454-4a5c-8b0e-6ae75b9fb035,connect-an-on-premises-network-to-a-microsoft-azure-virtual-network
SpSqBi15itpro,6f916a77-301c-4be2-b407-6cec4d80df76,the-microsoft-365-enterprise-dev-test-environment
SpSqBi15itpro,8c088e88-a9ba-4044-bced-722196f4496d,secure-sharepoint-online-team-sites-for-sensitive-and-highly-confidential-assets
SpSqBi15itpro,89f564eb-95c3-4077-bb92-75bf71b51270,accessible-diagramnetwork-integration-of-microsoft-office-server-products
SpSqBi15itpro,0a3555dc-6f96-49a5-b9e2-7760e16630b3,simulated-cross-premises-virtual-network-in-azure
SpSqBi15itpro,13c71689-59a9-4cdf-8175-808a20c1e879,microsoft-cloud-networking-for-enterprise-architects
SpSqBi15itpro,84348d0c-d9d1-4a98-9b99-8433f9b70e45,build-from-the-ground-up
